pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
FABEHEKDFBMVKSRG,"JDK NOVELTY Brocade, Art Silk, Organza Floral Print Multi-purpose Fabric, Kurti Fabric, Blouse Material, Dress/Top Material, Jacket Fabric, Salwar Suit Material, Kurta & Pallazo Material, Lehenga Choli Material, Lace, Kurta Fabric, Kurta & Patiyala Material, Kurta & Churidar Material, Sherwani Fabric",JDK NOVELTY,http://www.flipkart.com/jdk-novelty-brocade-art-silk-organza-floral-print-multi-purpose-fabric-kurti-blouse-material-dress-top-jacket-salwar-suit-kurta-pallazo-lehenga-choli-lace-patiyala-churidar-sherwani-fabric/p/itmehekd3jmuznbh?pid=FABEHEKDFBMVKSRG,800,449,No rating available
FABEHZJADZCW6FXT,Laadli Bouitique Cotton Floral Print Multi-purpose Fabric,Laadli Bouitique,http://www.flipkart.com/laadli-bouitique-cotton-floral-print-multi-purpose-fabric/p/itmehzjaat2yxzfm?pid=FABEHZJADZCW6FXT,175,110,No rating available
FABEHZJDBFJHYWAJ,Laadli Boutique Cotton Floral Print Multi-purpose Fabric,Laadli Boutique,http://www.flipkart.com/laadli-boutique-cotton-floral-print-multi-purpose-fabric/p/itmehzjdqnc9gg3g?pid=FABEHZJDBFJHYWAJ,175,110,No rating available
FABEJGYZTGMV9B7Z,SAE FASHIONS Cotton Embroidered Lace,SAE FASHIONS,http://www.flipkart.com/sae-fashions-cotton-embroidered-lace/p/itmejgyzwnsvjaa5?pid=FABEJGYZTGMV9B7Z,999,750,No rating available
FABEJHCYVZMGGFWF,Cotts Hub Cotton Polyester Blend Solid Shirt Fabric,Cotts Hub,http://www.flipkart.com/cotts-hub-cotton-polyester-blend-solid-shirt-fabric/p/itmejhcynfgctjhp?pid=FABEJHCYVZMGGFWF,549,249,No rating available
FABEJKJ2UAWA3JXC,"Shonaya Georgette, Crepe Embroidered Semi-stitched Gown",Shonaya,http://www.flipkart.com/shonaya-georgette-crepe-embroidered-semi-stitched-gown/p/itmejkj2ysnzbhdp?pid=FABEJKJ2UAWA3JXC,15940,3985,No rating available
FABEJNWZUDGDCMBZ,k shopping Cotton Printed Salwar Suit Dupatta Material,k shopping,http://www.flipkart.com/k-shopping-cotton-printed-salwar-suit-dupatta-material/p/itmejnwzj5whfzc3?pid=FABEJNWZUDGDCMBZ,1299,449,No rating available
FABEJQ69KC2ESRYX,Satrani Cotton Embroidered Salwar Suit Dupatta Material,Satrani,http://www.flipkart.com/satrani-cotton-embroidered-salwar-suit-dupatta-material/p/itmejq69cchghvgq?pid=FABEJQ69KC2ESRYX,4330,1234,No rating available
FABEJRR8CQWSR9NS,VIHA Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material,VIHA,http://www.flipkart.com/viha-cotton-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmejrr8y7zr8sef?pid=FABEJRR8CQWSR9NS,2999,949,No rating available
FABEJUNWFPKBXCJY,aahnafashion Crepe Printed Kurti Fabric,aahnafashion,http://www.flipkart.com/aahnafashion-crepe-printed-kurti-fabric/p/itmejunwfgzgpgjd?pid=FABEJUNWFPKBXCJY,3000,799,No rating available
FABEJX2NHNKCYHKA,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,Indcrown,http://www.flipkart.com/indcrown-net-embroidered-semi-stitched-lehenga-choli-material/p/itmejx2n25hczzvh?pid=FABEJX2NHNKCYHKA,999,699,No rating available
FAFEFYFBYWGZN9H8,Solo Polypropylene Plastic Business Travel Organizer,Solo,http://www.flipkart.com/solo-polypropylene-plastic-business-travel-organizer/p/itmefyf5gxdqfzzy?pid=FAFEFYFBYWGZN9H8,648,625,No rating available
